post_id,content,images
2860805674086393,"Công ty IT vừa thành lập nửa năm cần tuyển key member chuyên Web develop!!
Lương upto 40M, lương tháng 13, thưởng theo năng lực.",[]
2860831754083785,"FSoft DN tuyển 10 bạn Fresher Java, yêu cầu có N5+, offer theo năng lực
📩 ViHL1@fpt.com",[]
2860826804084280,"Năm nay Huệ vẫn focus chính cho thị trường Nhật, Hàn với các vị trí bên dưới. Đặc biệt 1 số job có thể làm Remote, hoặc ký HĐ dịch vụ (không đóng bảo hiểm), hỗ trợ hết mức cho anh chị em senior yên tâm làm việc.
😍 Ư𝐮 đã𝐢 đặ𝐜 𝐛𝐢ệ𝐭 𝐝à𝐧𝐡 𝐜𝐡𝐨 𝐜á𝐧 𝐛ộ 𝐜ấ𝐩 𝐜𝐚𝐨:
• Chính sách chuyển vùng lên đến 100 triệu (dành cho ứng viên từ Hà Nội/HCM về miền trung làm việc, cụ thể về các chi nhánh: F.Đà Nẵng, F.Quy Nhơn, F-Huế)
• Chính sách hỗ trợ vay với lãi suất thấp: lãi suất 4% (gói 1 – 2 tỷ đồng).
• Chính sách mua căn hộ chung cư cao cấp với giá ưu đãi.
và nhiều benefits khác của FPT.
😍 Inb cho Huệ để được tư vấn thêm nha.
#Fsoft
#fpt
#Danang
#HaNoi
#HCM
#VieclamIT
#Remote_job",[]
2860811604085800,"Năm nay IT tuyển dụng sôi động nhỉ , từ Cam, phi cho đến sing mẽo , thị trường uptrend lại rồi ae ?",[]
2856070594559901,"[Axon Active] Ở đây có job JAVA siêu xịn 🌟
‼️ Dự án làm về BPMN (quản lý năng lượng) bên mình đang mở rộng thêm quy mô, rất cần các bạn Java từ 3 năm kinh nghiệm, Eng cool cùng gia nhập ‼️
CÁC BẠN SẼ NHẬN ĐƯỢC:
Làm việc trực tiếp với khách hàng Âu Mỹ
Mức lương cạnh tranh & lương tháng 13
100% lương trong thời gian thử việc
Đóng BHXH full lương
Không OT, work-life balance
Bảo hiểm sức khỏe cao cấp miễn phí cho bạn và người thân
Thời gian làm việc linh hoạt, lên tới 18 ngày phép năm
WFH 1 ngày/tuần
Cung cấp bữa trưa miễn phí
Nhà trẻ miễn phí cho con bạn
Cơ hội onsite ở Châu Âu
….",[]
2858260037674290,"NALS cần lắm sự hội tụ của các Middle RoRs, .NET, Java, Angular cho loạt dự án lớn trong T3-T4 này.
Mn qtâm job cứ ping cho e nhé😉",[]
,"“Muốn thì sẽ tìm cách, không muốn sẽ tìm lí do.”",[]
2860731854093775,"Hôm nay trời nắng, cty mình cần gấp 2 bạn frontend dev và backend dev remote.
>6 tháng kinh nghiệm.
Lương thỏa thuận",[]
,Anh chở em đi ăn kem nè,[]
2858245014342459,"️🔥🔥🔥Hot! Hot! Hot!
[ĐN] IRTECH đang tìm người đồng hành tại vị trí JAVA DEVELOPER LEVEL MIDDLE & SENIOR ...
Nhanh tay nộp ngay CV để vào nhà chung IRTECH nào!!
️🎯𝐘𝐄̂𝐔 𝐂𝐀̂̀𝐔
⚡ 3 năm trở lên làm việc với Java Core, Java frameworks (Spring Framework, Spring Boot…).
⚡ Kiến thức và kinh nghiệm làm việc với Thymeleaf, SQL, Jquery, JasperReports, Vue, Javascript, Typescript, Docker, Linux system
⚡ Kinh nghiệm về business trong lĩnh vực Logistics, cảng biển
🎯𝐐𝐔𝐘𝐄̂̀𝐍 𝐋𝐎̛̣𝐈
Mức lương : thương lượng
Thưởng tháng lương thứ 13, thưởng dự án
Xét tăng lương 2 lần/năm theo năng lực và hiệu quả công việc
Nhanh tay ib mình để nhận JD các bạn nhé!",[]
,"Phong cách đứng đèn xanh đèn đỏ của vài anh xe khách, gặp mấy bác xe khách lùi rồi thì có nhường không?
_ _ _ _
Thành viên có Video clip tình huống hay về giao thông có thể gửi vào Inbox của Page để Ad đăng tải và chia sẻ rộng nhé!",[]
2858838264283134,"Thay mặt MOR Software, xin chúc toàn thể chị em trong group một ngày 8/3 vui vẻ, ấm áp tình cảm của anh em đồng nghiệp. Chúc chị em chúng mình mãi luôn xinh đẹp rạng rỡ! 🥰😍❤
Nhân tiện, em có một số vị trí đang open, cả nhà xem thấy phù hợp thì apply, chưa thì ping pong em cho nhộn nhịp ngày lễ cũng được hen 😍😍
🌳 JAVA DEVELOPER
🌳 PYTHON DEVELOPER
🌳 NODEJS DEVELOPER
🌳 FULLSTACK (Java/C#, Angular/React/Vuejs)
🌳 PROJECT MANAGER
Ping em đi em gửi JD cho rồi gửi lại em CV hoặc refer CV cho em cũng được nhen 😝
Skype: datuyet2811
Mail: tuyet.tld@mor.com.vn",[]
,"Cũng là sắc xanh nhưng kiểu tóc khác, tôi thích kiểu này ~
cr: 树知涩",[]
2860795397420754,"DỰ ÁN VỀ!
Rikkei Đà Nẵng tuyển 10 PHP, 10 Java (có biết FE là lợi thế)
Ib em tư vấn job nhé ạ",[]
,"🌺Đam mê kết nối mọi khoảng cách🌺 Sự góp mặt của Teams Hải Phòng - Hà Nội - Hạ Long - Hà Nam - Hưng Yên - Bắc Ninh- Bắc Giang - Bình Dương - Đắc Lắk - Gia Lai tại thành phố Lạng Sơn.🌸 Shuffle Dance Sức Sống Mới xin cảm ơn các anh chị em các team SSM ở các tỉnh thành cùng chung vui hai ngày qua như...
Xem thêm",[]
2859528967547397,"Để có thêm "" kiến thức, trải nghiệm, kinh nghiệm"" thì apply ngay vào CMC, với các job đang open sau:
PHP/ JAVA/ TESTER/ REACTJS  🤤🤤
CÓ TIẾNG ANH/ TIẾNG ANH CƠ BẢN
Lương hấp dẫn, cùng vô vàn benefit xịn
+14 tháng lương + 16M tiền thưởng cố định hằng năm + bonus dự án + 2 tháng thử việc full lương 🤑🤑🤑🤑",[]
,Nếu như không Đủ sức Để Đẩy con thuyền to thì hãy nghĩ ngơi. Chờ cơn gió lớn Đến mượn gió Để Đẩy thuyền đi,[]
